分拣中心,序号,物流,线路/目的地,电话
6号 分拣,21号,泽笙物流,六号分拣苏州 吴江 常熟 ：,19860991419 / 13365394119
6号 分拣,20号,泽笙物流,六号分拣无锡 江阴 宜兴 张家港 ：,19860991419 / 13365394119
6号 分拣,19号,泽笙物流,六号分拣常州 金坛 溧阳 丹阳 ：,19860991419 / 13365394119
6号 分拣,18号,泽笙物流,六号分拣上海全境 昆山 太仓 ：,19860991419 / 13365394119
6号 分拣,1-2号,建成物流,涟水专线 ：,13792413135
6号 分拣,1-2号,世佳物流,淮安专线,13562981233
6号 分拣,3-4号,凯莱物流,临沂<->宿迁 睢宁 新沂 ：8022261,13608902822
6号 分拣,3-4号,巨航物流,枣强 冀州 故城 大营 清河 南宫 ：,15614886188 / 13102758526
6号 分拣,5-6号,易通物流,临沂->淄博全境 往返<->? 沈阳-长春-哈尔滨,
6号 分拣,5-6号,易通物流,东北三省全境 沈阳-长春-哈尔滨,
6号 分拣,7-8号,九九物流,昌邑 寒亭 清池 坊子 ： 每日往返 专线直达,17753910926
6号 分拣,7-8号,九九物流,眉村 石埠 潍坊高新区 ： 每日往返 专线直达,17753910926
6号 分拣,9号,,汇晟平安 临沂 大成 阜草 霸州 服务：,15669927557 / 17686966606
6号 分拣,10号,,汇晟平安 临沂 文安 新镇 服务：,15588081399
6号 分拣,11号,山东中大开亮物流,宁德 莆田 三明 南平 ：,15165553111
6号 分拣,12号,山东中大开亮物流,福州 泉州 厦门 漳州 ：,19553933999
6号 分拣,13号,山东中大开亮物流,龙岩 晋江 福清 南安 ：,19553933888
6号 分拣,14号,佰帆物流,中大运和 临朐 青州 寿光 ：,18606397370 / 18606397620
6号 分拣,15号,,中大运和 日照 五莲 莒县 沂南 沂水 蒙阴 平邑 费县 兰陵 郯城临沭 莒南 ：,0539-7508888 / 18053977013
6号 分拣,19号,,中大运和 成都 达州 重庆 昆明 贵阳 拉萨 西安 银川 兰州 西宁 乌鲁木齐 哈密 ：,0539-7508888 / 13355018388
6号 分拣,18号,,中大运和 南昌 赣州 南宁 桂林 海口 三亚 武汉 荆州 宜昌 长沙 常德 永州 ：,0539-7508888 / 13355018388
8号 分拣,34号,远征物流,临沂<->潍坊 青州 寿光 高密 诸城 泰安 金乡 ： 1392605123,13563911931 / 18753995321
8号 分拣,33号,远征物流,山东鑫鲁顺 临沂<->广州 东莞 深圳 佛山 辐射全境：中山 珠海 惠州 滇远 品关 湛江 茂名 阳江 肇江 云浮 ：,18753905355 / 18753995321 / 13926205123 / 15875316558
8号 分拣,29-30号,连盛物流,湖南全境 长沙,17568150333
8号 分拣,30号,致胜物流,福建全境 福州 泉州 漳州 厦门 龙岩 南平 三明 宁德 ：,0535-8535656
8号 分拣,29号,致胜物流,四川全境 成都 服务：,0535-8535656
8号 分拣,28号,致胜物流,重庆全境 服务：,0535-8535656
8号 分拣,28号,致胜物流,攀枝花直达 西昌直达 服务：,0535-8535656
8号 分拣,25号,济邹物流,邹城 城前 田黄 尚河 接庄镇 ：,13953780120 / 18853980021
8号 分拣,24号,聚鲁物流,23-24 山西全境 太原 晋中 吕梁 朔州 忻州 ：,15588187070 / 15588186767
8号 分拣,23号,聚鲁物流,23-24 山西全境 阳泉 长治 晋城 临汾 洪洞 运城 ：,15588187070 / 15588186767
8号 分拣,22号,亿丰物流,昆山 太仓 吴江 ：,17155266677 / 13954456588 / 15315095789
8号 分拣,21号,亿丰物流,苏州 无锡 ：,17155266677 / 13954456588 / 15315095789
8号 分拣,18-20号,来龙货运（浙闽物流,） 乌鲁木齐（新疆全境） ：,15824410039
8号 分拣,18-20号,来龙货运（浙闽物流,） 丽水 福州 南平 三明 龙岩 ：,18950647672
8号 分拣,18-20号,来龙货运（浙闽物流,） 临沂<->湳城 建阳 邵武 建瓯 三明 沙县 临沂<->丽水 云和 龙泉 松溪 政和 ：,18950647672
8号 分拣,1号,路正通达（原宋亿物流,） 临沂 直达/往返 石家庄 廊坊 沧州 行唐 无极 新乐 正定 献县（诸城直达） ： 2988770,0539-8035188 / 13953900050
8号 分拣,2号,路正通达（原宋亿物流,） 沧州 任丘 河间 米各庄 献县（专线往返） ： 2988770,0539-8035188 / 13953900050
8号 分拣,3号,路正通达（原宋亿物流,） 保定 高阳 庞口 肃宁 雄安 徐水（专线往返） ： 2988770,0539-8035188 / 13953900050
8号 分拣,4-5号,临郑物流,万里物流 郑州 中牟 华南城（内部中转各市县） ：,0539-3123707 / 15376916357 / 15376916358
8号 分拣,4-5号,临郑物流,（原万里）河南全境 ：,15376916357 / 15376916358
8号 分拣,6号,标强物流,崇明 太仓 昆山 ：,0539-3117506 / 15054905777 / 13225495777
8号 分拣,7号,标强物流,：,0539-3117506 / 15054905777 / 13225495777
8号 分拣,8号,标强物流,上海全境 ：,0539-3117506 / 15054905777 / 13225495777
8号 分拣,9号,通达物流,南京专线 ：,17605496116 / 15069880791
8号 分拣,10号,通达物流,泰安 东平 ：,0539-2030865 / 15069880791
8号 分拣,11号,通达物流,：,0539-2030865 / 15069880791
8号 分拣,12号,永疆供应链,阿克苏 ： 业务查询：,15653950066 / 13105490056 / 13275490056
8号 分拣,13号,永疆供应链,乌鲁木齐 ： 业务查询：,15653950066 / 13105490056 / 13275490056
8号 分拣,14号,永疆供应链,库尔勒 ： 业务查询：,15653950066 / 13105490056 / 13275490056
8号 分拣,15-17号,福甜物流,崂山 胶州 日照 ： 8065716 接货： 监督：,0539-8065277 / 15963917222 / 15966394666
8号 分拣,15-17号,福甜物流,青岛李沧 城阳 ： 8065716 接货： 监督：,0539-8065277 / 15963917222 / 15966394666
9号 分拣,27-28号,致胜物流,分拣中心,18853995152
9号 分拣,29号,东飞物流,邯郸 馆陶 大名 魏县 鸡泽 广平 河古庙 冠县 ：,19153921502 / 19153921506
9号 分拣,30号,永川物流,中牟 华南城 南四环 郑州 伊滨 老城 关林 洛阳 分拣 济南 港南 蚌埠 毫州 宿州 淮北 阜阳 合肥,
9号 分拣,31号,安旭物流,分拣 泗县,18266709811 / 13733003100
9号 分拣,32号,顺平物流,分拣 黄岛 胶南 胶州 平度 城阳 高密 徐州 岚山 汾水 ：,0539-3101898 / 15964688899
7号 分拣,12号,成飞物流,致胜 分拣 临沂往返 宿州,13563995588
7号 分拣,13号,成飞物流,致胜 分拣 淮南 淮北 凤台 寿县,
7号 分拣,14号,成飞物流,致胜 分拣 蚌埠 怀远 凤阳,
7号 分拣,15号,成飞物流,致胜 分拣 合肥 芜湖 宣城 安庆 六安 舒城 淮北 濉溪 金寨 霍邱 滁州 全椒,
7号 分拣,16号,成飞物流,分拣中心12-16号 ：,18650978212
7号 分拣,11号,祥和物流,致胜 连云港 海州 赣榆 ：3886788 ：1875123999,13153929998
7号 分拣,10号,佳泽物流,承德全境 临沂：,0535-7208292 / 13953995879
7号 分拣,9号,佳泽物流,承德 隆化 围场 丰宁 宽城 兴隆 滦平 临沂：,0535-7208292 / 13953995879
7号 分拣,8号,佳泽物流,平泉 双滦 营子 宁城 凌源 ：,0314-7019012 / 15733967688 / 17605396699
7号 分拣,4-7号,龙虎物流,郑州 许昌 长葛 ：1677480666,13605392637
7号 分拣,1-2号,汇通物流,党山 ,13969955265 / 13989829889
7号 分拣,15号,思鸿物流,振玉物流,15092377170
7号 分拣,16号,思鸿物流,临沂往返莱州、沙河,15092377170
7号 分拣,17号,正迎物流,太原 晋源 晋中 迎泽 尖草坪 分拣,17753979551
7号 分拣,18号,正迎物流,榆林 神木 大同 朔州 忻州 吕梁 分拣,15615896332
7号 分拣,19号,正迎物流,长治 晋城 高平 临汾 分拣 看不清,
7号 分拣,20号,正迎物流,运城 新绛 侯马 三门峡 分拣,13375691309
7号 分拣,21号,正迎物流,三方落地分拣中心 分拣,
7号 分拣,26号,思鸿物流,银川 吴忠 固原 乌海 客服：,17853918019 / 0539-8990271
7号 分拣,27号,思鸿物流,西安 宝鸡 榆林 庆阳 客服：,17853918019 / 0539-8990271
7号 分拣,28号,思鸿物流,兰州 武威 西宁 拉萨 客服：,17853918019 / 0539-8990271
7号 分拣,29号,思鸿物流,三财讯诚 乌鲁木齐（南区沙依巴克） 客服：,13754708817 / 0539-8990271
7号 分拣,30号,思鸿物流,三财讯诚 乌鲁木齐（北区米东 新华凌） 客服：,13754708817 / 0539-8990271
7号 分拣,31号,思鸿物流,三财讯诚 哈密米伊犁 喀什 客服：,13754708817 / 0539-8990271
7号 分拣,32号,思鸿物流,三财讯诚 石河子 奎屯 博乐 库尔勒 客服：,15753950666 / 0539-8990271
5号 分拣,20号,骏盛驰物流,山东鑫鲁顺 嘉祥 ：,0539-3116567 / 13468110786
5号 分拣,21号,骏盛驰物流,山东鑫鲁顺 威海高区 张村 ：,13176961678 / 18265958887
5号 分拣,22号,骏盛驰物流,山东鑫鲁顺 威海环翠 经区 ： 家家悦 外运 海联 临港区,13176961678 / 18265958887
5号 分拣,23号,骏盛驰物流,山东鑫鲁顺 海阳 乳山 ：,13176961678 / 18265958887
5号 分拣,24号,骏盛驰物流,山东鑫鲁顺 文登 蔄山 ：,13176961678 / 18265958887
5号 分拣,25号,骏盛驰物流,山东鑫鲁顺 荣成 石岛 ：,13176961678 / 18265958887
5号 分拣,26号,邦讯物流,广州往返临沂 ：,13325080099 / 15065901468
5号 分拣,27号,福顺物流,山东鑫鲁顺 临沂 鄄城 ：,0539-8535886 / 15266939599 / 15588101119
5号 分拣,28号,百川物流,山东鑫鲁顺 嘉祥 ：,0539-3115052 / 15054661616
5号 分拣,29号,百川物流,山东鑫鲁顺 巨野 郓城 ：,0539-3115052 / 15054661616
5号 分拣,30号,百川物流,山东鑫鲁顺 三财龙腾 日照 滕州 ：8070277,18206399222
5号 分拣,31号,百川物流,山东鑫鲁顺 三财翔霖 枣庄 薛城 ：8070277,18206399222
5号 分拣,32号,百川物流,山东鑫鲁顺 三财海赋 微山 台儿庄 ：8070277,18206399222
5号 分拣,33号,捷通物流,山东鑫鲁顺 滨州 ：,15168908810 / 15069995617
5号 分拣,34-36号,大雁物流,山东鑫鲁顺 泰安 大汶口 ： 文成物流：,18805396656 / 13355085432
5号 分拣,34-36号,大雁物流,山东鑫鲁顺 薛城 德州 莒县 ： 文成物流：有个看不清,18805396656 / 13355085432
5号 分拣,34-36号,大雁物流,山东鑫鲁顺 新泰 ：,18754820988 / 13805481398
5号 分拣,37-38号,大雁物流,山东鑫鲁顺 黑风快运 温州至临沂分拣中心 ：,0539-8296159 / 15964875881
5号 分拣,37-38号,大雁物流,山东鑫鲁顺 黑风快运 温州至临沂分拣中心 ：,0539-8296159 / 15964875881
3号 分拣,21号,健捷物流,山东鑫鲁顺 临沂往返烟台 7033222,0539-7299567 / 18953983111
3号 分拣,20号,健捷物流,山东鑫鲁顺 芝罘 福山 莱山 7033222,0539-7299567 / 18953983111
3号 分拣,19号,健捷物流,山东鑫鲁顺 牟平 莱州 招远 7033222,0539-7299567 / 18953983111
3号 分拣,18号,龙驰快运(澳运物流,) 聊城全境 安徽全境 临沂往来聊城,18053973321 / 15805490699
3号 分拣,17号,乐宇物流,山东鑫鲁顺 03分拣栖霞 桃村,15265101552 / 15552932862
3号 分拣,13号,虹海物流,山东鑫鲁顺 (原虹源) 高唐 禹城. 3129587,0539-8889433 / 18653557258
3号 分拣,14号,虹海物流,山东鑫鲁顺 (原虹源) 齐河 桑梓店 3129587,0539-8889433 / 18653557258
3号 分拣,12号,米迪金镖物流,山东鑫鲁顺 分拨12号 临沂往返胶南 黄岛,13355000727 / 13355000893
3号 分拣,11号,宏盾物流,山东鑫鲁顺 王台 泊里,
3号 分拣,08-09号,振山物流,山东鑫鲁顺 济宁 汶上 梁山,0539-8539260 / 13608999422 / 15552926888
3号 分拣,08-09号,振山物流,山东鑫鲁顺 济宁 汶上 梁山,0539-8539260 / 13608999422 / 15552926888
3号 分拣,07号,伟兴物流,山东鑫鲁顺 临沂往返淄博 张店,0539-8378036 / 13734375858
3号 分拣,06号,伟兴物流,山东鑫鲁顺 淄川 周村 邹平,0539-8378036 / 13734375858
3号 分拣,05号,伟兴物流,山东鑫鲁顺 桓台 临淄 博山,0539-8378036 / 13734375858
3号 分拣,4号,一站式物流,山东鑫鲁顺 黑风快运 分拨配送中心 ：,0539-8203888 / 18853989053 / 18853989675
3号 分拣,3号,一站式物流,山东鑫鲁顺 黑风快运 济南 潍坊 青州 寿光 日照 ：,0539-8203888 / 18853989053 / 18853989675
3号 分拣,2号,一站式物流,山东鑫鲁顺 黑风快运 费县 蒙阴 莒南 临沭 莒县 ：,0539-8203888 / 18853989053 / 18853989675
3号 分拣,1号,一站式物流,山东鑫鲁顺 黑风快运 郯城兰陵 沂水 沂南 平邑 ：,0539-8203888 / 18853989053 / 18853989675
3号 分拣,22号,一站式物流,山东鑫鲁顺 临沂往返 蓝村 城阳,0539-8356321 / 13153966778
3号 分拣,23号,中立物流,山东鑫鲁顺 菏泽,17762053666 / 13869920103 / 18606390800
3号 分拣,24号,中立物流,山东鑫鲁顺 曹县 单县,17762053666 / 13869920103 / 18606390800
3号 分拣,25号,中立物流,山东鑫鲁顺 巨野 郓城,17762053666 / 13869920103 / 18606390800
3号 分拣,26号,中立物流,山东鑫鲁顺 成武 定陶,17762053666 / 13869920103 / 18606390800
3号 分拣,27号,中立物流,山东鑫鲁顺 东明 枣庄,17762053666 / 13869920103 / 18606390800
3号 分拣,28号,中立物流,山东鑫鲁顺 济宁 金乡,17762053666 / 13869920103 / 18606390800
3号 分拣,29号,中立物流,山东鑫鲁顺 鱼台 鄄城,17762053666 / 13869920103 / 18606390800
3号 分拣,30号,中立物流,山东鑫鲁顺 潍坊,13864966315 / 15265912552
3号 分拣,31号,中立物流,山东鑫鲁顺 徐州,13864966315 / 15265912552
3号 分拣,32号,中立物流,山东鑫鲁顺 贾汪,13864966315 / 15265912552
3号 分拣,33号,中立物流,山东鑫鲁顺 丰县 沛县,13864966315 / 15265912552
3号 分拣,34号,路风物流,山东鑫鲁顺 澳龙 扬州,15305397189 / 18653537931
3号 分拣,35号,路风物流,山东鑫鲁顺 日照 岚山,15305397189 / 16653537931
3号 分拣,36号,凯明物流,山东鑫鲁顺 蓬菜 龙口 黄城 长岛 8331822,15953593366
3号 分拣,37号,捷通物流,山东鑫鲁顺 临沂往返宁阳 磁窑,17853832988 / 15653980735 / 18553980135
3号 分拣,38号,捷通物流,山东鑫鲁顺 临沂往返宁阳 磁窑,17853832988 / 15653980735 / 18553980135
3号 分拣,39号,捷通物流,临沂领泰 宁波金星 宁波→临沂,13853908996 / 16553901666
3号 分拣,40号,捷通物流,临沂领泰 宁波金星 绍兴 越城 上虞 嵊州 新昌 就、诸暨,13853908996 / 16553901666
3号 分拣,40号,捷通物流,临沂领泰 宁波金星 慈溪 余姚 宁海 象山 舟山 定海,13853908996 / 16553901666
3号 分拣,40号,捷通物流,临沂领泰 宁波金星 宁波 海曙 江北 奉化 北仓 鄞州,13853908996 / 16553901666
1号 分拣,1号,仁果物流,山东鑫鲁顺 潍坊 昌邑,18669919636 / 18669919637
1号 分拣,2号,仁果物流,山东鑫鲁顺 诸城 安丘 高密,18669919636 / 18669919637
1号 分拣,3号,仁果物流,山东鑫鲁顺 寿光 昌乐,18669919636 / 18669919637
1号 分拣,4号,仁果物流,山东鑫鲁顺 临朐 青州,18669919636 / 18669919637
1号 分拣,7号,三鑫物流,临沂久泰 临沂往返魏县,18353922231 / 0539-3599199
1号 分拣,7号,三鑫物流,临沂久泰 临沂往返永年 曲周,18353922231 / 0539-3599199
1号 分拣,7号,三鑫物流,临沂久泰 临沂往返邯郸,18353922231 / 0539-3599199
1号 分拣,8号,永顺物流,临沂往返呼市 包头 东胜 集宁 临河 乌海,0539-2197111 / 16562128888 / 15953953666
1号 分拣,9号,永顺物流,临沂往返赤峰 通辽 锡林浩特 乌兰浩特,0539-2197111 / 16562128888 / 15953953666
1号 分拣,10号,永顺物流,山东鑫鲁顺 临沂往返莱阳 临沂 莱阳：,15153931456 / 0535-7575595
1号 分拣,11号,东胜永厦物流,夏邑 毫州,15032670678 / 0539-2800816
1号 分拣,12号,东胜永厦物流,临沂往返永城,15032670678 / 0539-2800816
1号 分拣,13号,其根物流,永康→临沂 7672858,0539-7672868
1号 分拣,14号,其根物流,永康→临沂 7672858,0539-7672868
1号 分拣,15号,其根物流,永康→临沂 7672858,0539-7672868
1号 分拣,16号,领泰物流,东阳往返临沂,0539-8198556 / 13805393178
1号 分拣,17号,领泰物流,义乌往返临沂,0539-8198556 / 13805393178
1号 分拣,18号,宝港物流,捷达物流 临沂往返柬埔寨全境 合作电 话: 收货电 话:,18957991313 / 13792968350
1号 分拣,19号,领泰物流,临沂往返浦江 兰溪,0539-8198556 / 13805393178
1号 分拣,20号,领泰物流,临沂往返金华 永康,0539-8198556 / 13805393178
1号 分拣,21号,领泰物流,临沂往返义鸟 东阳,0539-8198556 / 13805393178
1号 分拣,42号,建铧物流,山东鑫鲁顺 广东全境 梅州 河源 茂名 湛江,
1号 分拣,41号,建铧物流,山东鑫鲁顺 广东全境 海南 番禺 清远 江门,
1号 分拣,40号,建铧物流,山东鑫鲁顺 广东全境 韶关 肇庆 珠海 惠州,
1号 分拣,39号,建铧物流,山东鑫鲁顺 广东全境 佛山 中山 东莞 广州,
1号 分拣,38号,鲁驰供应链,山东鑫鲁顺 苏州分拨处,17753997626
1号 分拣,37号,鲁驰供应链,山东鑫鲁顺 宁波红城 西安,17753997626
1号 分拣,36号,鲁驰供应链,宏伟物流 河北白沟分拔处,18853939349
1号 分拣,35号,鲁驰供应链,宏伟物流 河北大城分拨处,15318505109
1号 分拣,34号,鲁驰供应链,宏伟物流 余姚 慈溪 舟山 柯桥 上虞,15318505196
1号 分拣,33号,鲁驰供应链,宏伟物流 宁波 奉化 宁海象山 北仑,15318505196
1号 分拣,32号,鲁驰供应链,临浙市兰山区茶丰货衡市西中心 临沂往返海州 新浦 连云港,15318595398
1号 分拣,31号,鲁驰供应链,临浙市兰山区茶丰货衡市西中心 临沂往返灌云灌南 城坤 连云区,15318595398
1号 分拣,30号,鲁驰供应链,宏伟物流 白沟 高碑店 雄县,15318556692 / 18353922215
1号 分拣,29号,鲁驰供应链,宏伟物流 德州,15318505102
1号 分拣,28号,鲁驰供应链,宏伟物流 菏泽,15318505103
1号 分拣,27号,鲁驰供应链,宏伟物流 青州 辛寨 临朐,15318503860
1号 分拣,26号,鲁驰供应链,宏伟物流 淮安 楚州 汇通 徐州,15653998518
1号 分拣,25号,鲁驰供应链,宏伟物流 昆山 太仓,15318590106
1号 分拣,24号,鲁驰供应链,宏伟物流 苏州 张家港 常熟,15318590106
1号 分拣,23号,鲁驰供应链,宏伟物流 常州 溧阳 镇江 丹阳,15969965789
1号 分拣,22号,鲁驰供应链,宏伟物流 无锡 江阴 宜兴,15969965789
